,Unnamed: 0,Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region
23,23,C_CND_000024,2020-01-02,Arthur,Male,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,99301-3882,Passenger,7959858,Pasco
24,24,C_CND_000025,2020-01-02,Lizzie,Male,672000,Suburban Ford,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,53546-9427,Passenger,8570849,Janesville
25,25,C_CND_000026,2020-01-02,Florian,Male,801250,Tri-State Mack Inc,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,31250,85257-3102,SUV,8520534,Scottsdale
26,26,C_CND_000027,2020-01-02,Cassandre,Female,820000,U-Haul CO,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000,78758-7841,Passenger,6362556,Austin
27,27,C_CND_000028,2020-01-02,Syrielle,Male,791000,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,53546-9427,Hatchback,6281210,Janesville
28,28,C_CND_000029,2020-01-02,Sloane,Male,13500,Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,78758-7841,Hatchback,6292720,Janesville
29,29,C_CND_000030,2020-01-02,Sofia,Male,1020000,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000,06457-3834,Hatchback,7698986,Scottsdale
30,30,C_CND_000031,2020-01-02,Sophia,Male,210000,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,20000,60504-7114,Sedan,8847858,Austin
31,31,C_CND_000032,2020-01-02,Sophie,Male,750000,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hatchback,8344679,Middletown
32,32,C_CND_000033,2020-01-02,Stella,Male,635000,Star Enterprises Inc,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Sedan,6827044,Aurora
33,33,C_CND_000034,2020-01-02,Suri,Male,675000,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,7954038,Greenville
34,34,C_CND_000035,2020-01-02,Sury,Male,880000,U-Haul CO,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000,78758-7841,Passenger,7400390,Pasco
35,35,C_CND_000036,2020-01-03,Haley,Male,13500,Diehl Motor CO Inc,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Sedan,7153628,Middletown
36,36,C_CND_000037,2020-01-03,Hannah,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,60504-7114,SUV,6125796,Aurora
37,37,C_CND_000038,2020-01-03,Haylee,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,38701-8047,Hatchback,7438037,Greenville
38,38,C_CND_000039,2020-01-03,Hayley,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,99301-3882,SUV,6837588,Pasco
39,39,C_CND_000040,2020-01-03,Harry,Female,13500,Star Enterprises Inc,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,99301-3882,Passenger,7213857,Pasco
40,40,C_CND_000041,2020-01-03,Henry,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,53546-9427,Sedan,7704004,Janesville
41,41,C_CND_000042,2020-01-03,Hersh,Female,13500,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Sedan,8018700,Scottsdale
42,42,C_CND_000043,2020-01-03,Hershel,Male,967500,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,78758-7841,Passenger,6793858,Austin
43,43,C_CND_000044,2020-01-03,Aicha,Male,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001,06457-3834,Hatchback,6739543,Middletown
44,44,C_CND_000045,2020-01-03,Aisha,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,60504-7114,Hatchback,6091237,Aurora
45,45,C_CND_000046,2020-01-03,Aissatou,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,38701-8047,Hatchback,6547535,Greenville
46,46,C_CND_000047,2020-01-03,Alana,Male,1250000,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,21001,99301-3882,Hatchback,8689761,Pasco
47,47,C_CND_000048,2020-01-03,Chloe,Male,730000,Rabun Used Car Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,85257-3102,Hatchback,6404807,Scottsdale
48,48,C_CND_000049,2020-01-03,Valentine,Male,4060000,Race Car Help,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,78758-7841,Hatchback,7117432,Austin
49,49,C_CND_000050,2020-01-03,Aurore,Male,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,06457-3834,SUV,7836930,Middletown
50,50,C_CND_000051,2020-01-03,Nikita,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,60504-7114,Hatchback,7316398,Aurora
51,51,C_CND_000052,2020-01-03,Justine,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,53546-9427,Hardtop,7680267,Austin
52,52,C_CND_000053,2020-01-03,Sylvia,Female,640000,C & M Motors Inc,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,60504-7114,Hatchback,6402878,Scottsdale
53,53,C_CND_000054,2020-01-03,Chloe,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hardtop,7890478,Middletown
54,54,C_CND_000055,2020-01-03,Tamar,Male,520000,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,99301-3882,SUV,8523869,Middletown
55,55,C_CND_000056,2020-01-04,Hazel,Male,1876000,Iceberg Rentals,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25600,53546-9427,Passenger,8852693,Janesville
56,56,C_CND_000057,2020-01-04,Heaven,Male,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,17000,85257-3102,Hatchback,6444851,Scottsdale
57,57,C_CND_000058,2020-01-04,Heidi,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,78758-7841,SUV,6052630,Austin
58,58,C_CND_000059,2020-01-04,Hershy,Male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hatchback,8939776,Middletown
59,59,C_CND_000060,2020-01-04,Hudson,Male,1800000,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Passenger,7177888,Aurora
60,60,C_CND_000061,2020-01-04,Amare,Male,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,06457-3834,Hardtop,6139882,Janesville
61,61,C_CND_000062,2020-01-04,Alexandria,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hatchback,7181009,Janesville
62,62,C_CND_000063,2020-01-04,Alexis,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Hatchback,7936565,Austin
63,63,C_CND_000064,2020-01-04,Alyssa,Female,280000,Nebo Chevrolet,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,14000,06457-3834,SUV,7419754,Middletown
64,64,C_CND_000065,2020-01-04,Coline,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,31100,38701-8047,Sedan,8637804,Greenville
65,65,C_CND_000066,2020-01-04,Annaelle,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,99301-3882,Hatchback,8380613,Pasco
66,66,C_CND_000067,2020-01-04,Anais,Male,13500,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,53546-9427,SUV,6595676,Janesville
67,67,C_CND_000068,2020-01-04,Taylor,Male,895000,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,53546-9427,Passenger,7244029,Aurora
68,68,C_CND_000069,2020-01-04,Tessa,Female,660000,Classic Chevy,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,85257-3102,Sedan,6741165,Greenville
69,69,C_CND_000070,2020-01-04,Toby,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,78758-7841,Hatchback,8822935,Pasco
70,70,C_CND_000071,2020-01-05,Heidy,Male,1636000,Nebo Chevrolet,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22600,06457-3834,SUV,8026457,Middletown
71,71,C_CND_000072,2020-01-05,Helen,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,60504-7114,Passenger,8872334,Aurora
72,72,C_CND_000073,2020-01-05,Imani,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,38701-8047,SUV,6204993,Greenville
73,73,C_CND_000074,2020-01-05,Ingrid,Male,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,99301-3882,Sedan,7031644,Pasco
74,74,C_CND_000075,2020-01-05,Irene,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22700,53546-9427,Passenger,7179280,Janesville
75,75,C_CND_000076,2020-01-05,Iris,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45000,85257-3102,SUV,6245275,Scottsdale
76,76,C_CND_000077,2020-01-05,Hunter,Male,1200000,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000,99301-3882,Hatchback,7072635,Pasco
77,77,C_CND_000078,2020-01-05,James,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,6766211,Austin
78,78,C_CND_000079,2020-01-05,Ilan,Male,410000,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,15000,85257-3102,SUV,8011357,Scottsdale
79,79,C_CND_000080,2020-01-05,Isaac,Male,930000,Clay Johnson Auto Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,78758-7841,Hatchback,7539127,Austin
80,80,C_CND_000081,2020-01-05,Aaron,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,85257-3102,Hardtop,6559063,Greenville
81,81,C_CND_000082,2020-01-05,Israel,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,60504-7114,Hatchback,8082987,Aurora
82,82,C_CND_000083,2020-01-05,Amara,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,60504-7114,Sedan,7328070,Aurora
83,83,C_CND_000084,2020-01-05,Amaya,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,38701-8047,SUV,7078803,Greenville
84,84,C_CND_000085,2020-01-05,Amelia,Male,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,99301-3882,Hatchback,8636283,Pasco
85,85,C_CND_000086,2020-01-05,Amia,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,53546-9427,Sedan,7109521,Janesville
86,86,C_CND_000087,2020-01-05,Amina,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,85257-3102,Sedan,7305344,Scottsdale
87,87,C_CND_000088,2020-01-05,Aminata,Male,13500,Race Car Help,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,78758-7841,SUV,8941079,Austin
88,88,C_CND_000089,2020-01-05,Alizee,Male,13500,Tri-State Mack Inc,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000,85257-3102,Sedan,6136111,Scottsdale
89,89,C_CND_000090,2020-01-05,Caroline,Male,2550000,U-Haul CO,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,78758-7841,Hatchback,8001444,Austin
90,90,C_CND_000091,2020-01-05,Wadia,Male,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,06457-3834,Sedan,7696195,Middletown
91,91,C_CND_000092,2020-01-05,Mauricio,Male,13500,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,78758-7841,Hardtop,8188037,Austin
92,92,C_CND_000093,2020-01-05,Maximilian,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,60504-7114,Hardtop,8351089,Aurora
93,93,C_CND_000094,2020-01-05,Elisa,Male,13500,Chrysler of Tri-Cities,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,99301-3882,SUV,6130679,Pasco
94,94,C_CND_000095,2020-01-05,Tzipora,Male,2110000,Diehl Motor CO Inc,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,06457-3834,Passenger,6260413,Janesville
95,95,C_CND_000096,2020-01-05,Tziporah,Female,13500,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,60504-7114,SUV,8750989,Scottsdale
96,96,C_CND_000097,2020-01-05,Tzippy,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,38701-8047,Hatchback,6784534,Austin
97,97,C_CND_000098,2020-01-05,Tzivia,Male,13500,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,43000,99301-3882,Sedan,7944735,Janesville
98,98,C_CND_000099,2020-01-05,Valentina,Female,13500,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,53546-9427,Sedan,8099375,Scottsdale
99,99,C_CND_000100,2020-01-05,Valerie,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,85257-3102,SUV,6641303,Austin
100,100,C_CND_000101,2020-01-06,Isabel,Male,13500,Race Car Help,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16001,78758-7841,SUV,8158584,Austin
101,101,C_CND_000102,2020-01-06,Isabela,Female,760000,Ryder Truck Rental and Leasing,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,16001,06457-3834,Sedan,7159142,Middletown
102,102,C_CND_000103,2020-01-06,Ivan,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,38701-8047,SUV,7495544,Greenville
103,103,C_CND_000104,2020-01-06,Abel,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000,06457-3834,Hardtop,6682438,Janesville
104,104,C_CND_000105,2020-01-06,Amira,Male,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Hatchback,7189696,Middletown
105,105,C_CND_000106,2020-01-06,Amirah,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,60504-7114,Hatchback,8844816,Aurora
106,106,C_CND_000107,2020-01-06,Mathias,Female,13500,Chrysler Plymouth,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,49000,53546-9427,Hatchback,8002612,Janesville
107,107,C_CND_000108,2020-01-06,Noel,Male,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,99301-3882,Hardtop,6633882,Pasco
108,108,C_CND_000109,2020-01-06,Vanessa,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,78758-7841,SUV,8884667,Middletown
109,109,C_CND_000110,2020-01-06,Vera,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,06457-3834,Sedan,6759578,Aurora
110,110,C_CND_000111,2020-01-09,Isabella,Female,481000,Saab-Belle Dodge,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57001,60504-7114,SUV,6376331,Aurora
111,111,C_CND_000112,2020-01-09,Isabelle,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62001,38701-8047,Hatchback,6729016,Greenville
112,112,C_CND_000113,2020-01-09,Isis,Male,1350000,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,99301-3882,SUV,7270473,Pasco
113,113,C_CND_000114,2020-01-09,Itzel,Male,750000,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,53546-9427,SUV,7281617,Janesville
114,114,C_CND_000115,2020-01-09,Yadiel,Male,451000,McKinney Dodge Chrysler Jeep,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,85257-3102,Hardtop,7824922,Austin
115,115,C_CND_000116,2020-01-09,Joseph,Female,650000,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,8944331,Janesville
116,116,C_CND_000117,2020-01-09,Jake,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,78758-7841,Hatchback,7757499,Austin
117,117,C_CND_000118,2020-01-09,James,Female,13500,Nebo Chevrolet,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12000,06457-3834,Hatchback,6586288,Middletown
118,118,C_CND_000119,2020-01-09,Amiya,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,38701-8047,Hatchback,8486170,Greenville
119,119,C_CND_000120,2020-01-09,Amiyah,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,99301-3882,Hatchback,6732905,Pasco
120,120,C_CND_000121,2020-01-09,Angelina,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,53546-9427,Sedan,7212279,Janesville
121,121,C_CND_000122,2020-01-09,Aniya,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,85257-3102,Hatchback,8144887,Scottsdale
122,122,C_CND_000123,2020-01-09,Benott,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,78758-7841,Passenger,8668755,Austin
123,123,C_CND_000124,2020-01-09,Lucas,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,06457-3834,Hatchback,8892301,Middletown
124,124,C_CND_000125,2020-01-09,Clara,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,60504-7114,SUV,6238423,Aurora
125,125,C_CND_000126,2020-01-09,Clara,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,26000,38701-8047,Sedan,7552575,Greenville
126,126,C_CND_000127,2020-01-09,Alexis,Male,642000,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hardtop,6278363,Greenville
127,127,C_CND_000128,2020-01-09,Veronika,Female,705000,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,38701-8047,Hatchback,6323753,Pasco
128,128,C_CND_000129,2020-01-09,Victoria,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Passenger,8368721,Janesville
129,129,C_CND_000130,2020-01-09,Violet,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,53546-9427,Passenger,6328688,Scottsdale
130,130,C_CND_000131,2020-01-10,Izabella,Female,1985000,Tri-State Mack Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28501,85257-3102,Hatchback,6553517,Scottsdale
131,131,C_CND_000132,2020-01-10,Jason,Male,1275000,New Castle Ford Lincoln Mercury,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15500,60504-7114,Hatchback,8070819,Aurora
132,132,C_CND_000133,2020-01-10,Aniyah,Male,13500,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,78758-7841,Passenger,7541816,Austin
133,133,C_CND_000134,2020-01-10,Elise,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,99301-3882,Sedan,8368460,Pasco
134,134,C_CND_000135,2020-01-10,Vivian,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,85257-3102,Passenger,7578367,Austin
135,135,C_CND_000136,2020-01-12,Jacqueline,Female,500000,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,78758-7841,SUV,6435654,Austin
136,136,C_CND_000137,2020-01-12,Jada,Male,1172500,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27250,06457-3834,SUV,7906708,Middletown
137,137,C_CND_000138,2020-01-12,Jade,Male,441000,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,60504-7114,Sedan,6536878,Aurora
138,138,C_CND_000139,2020-01-12,Jaelynn,Male,1310000,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,38701-8047,Sedan,6374244,Greenville
139,139,C_CND_000140,2020-01-12,Jamie,Male,13500,Chrysler of Tri-Cities,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,99301-3882,Passenger,6500188,Pasco
